Species,Dr,EU_soil_texture
Thymelaea hirsuta,3.5,C
Zygophyllum dumosum,1.75,C
Acacia tortilis ssp. raddiana,35,C
Acer saccharum,1.8,C
Mulinum spinosum,1,C
Senecio filaginoides,1.2,C
Curatella americana,6,M
Ambrosia dumosa,0.7,C
Larrea tridentata,0.8,C
Abronia villosa,0.3,C
Antheropeas wallacei,0.1,C
Camissonia brevipes,0.19,C
Cryptantha utahensis,0.14,C
Eremalche rotundifolia,0.31,C
Geraea canescens,0.27,C
Mimulus bigelovii,0.07,C
Mohavea breviflora,0.15,C
Monoptilon bellioides,0.07,C
Palafoxia linearis,0.2,C
Plantago ovata,0.1,C
Polygonum aviculare,0.13,C
Syntrichopappus fremontii,0.05,C
Allionia incarnata,0.37,C
Amaranthus palmeri,0.37,C
Amaranthus palmeri,0.78,C
Boerhaavia spicata,0.3,C
Boerhaavia wrightii,0.28,C
Chamaesyce abramsiana,0.26,C
Cucurbita digitata,0.63,C
Kallstroemia grandiflora,0.54,C
Pectis papposa,0.24,C
Tidestromia lanuginosa,0.3,C
Cariniana pyriformis,2,F
Prosopis glandulosa,12,C
Acacia arabica,8.8,
Acacia polyacantha ssp. polyacantha,4,
Acacia seyal,7.9,
Acacia sieberiana,1.65,
Baccharis glutinosa,0.58,F
Pluchea sericea,1.69,C
Tamarix ramosissima,0.64,C
Tamarix ramosissima,3.66,C
Guiera senegalensis,2.1,C
Eremaea beaufortioides,10,C
Aphanostephus ramosissimus,1.3,M
Aristida purpurea,0.75,M
Aristida purpurea,0.98,M
Aristida purpurea,1.3,M
Atriplex canescens,3.3,M
Atriplex canescens,3.6,M
Bouteloua eriopoda,0.45,M
Bouteloua eriopoda,1.08,M
Bouteloua eriopoda,1.6,C
Caesalpinia drepanocarpa,0.92,M
Caesalpinia jamesii,1.6,M
Chamaesyce albomarginata,0.83,M
Croton pottsii,1.4,M
Croton pottsii,1.6,M
Croton pottsii,1.78,C
Dalea nana,1.3,M
Desmanthus cooleyi,2.1,M
Dimorphocarpa wislizenii,0.75,M
Ephedra torreyana,0.7,C
Ephedra trifurca,2.71,M
Ephedra trifurca,5,M
Eragrostis lehmanniana,1.2,C
Erioneuron pulchellum,0.3,M
Flourensia cernua,2.16,M
Flourensia cernua,2.65,M
Flourensia cernua,5,M
Gaura coccinea,0.62,C
Gutierrezia sarothrae,1.1,F
Gutierrezia sarothrae,2.4,M
Gutierrezia sarothrae,2.4,M
Hymenopappus flavescens,0.86,M
Iva dealbata,3,M
Krameria lanceolata,0.6,M
Krascheninnikovia lanata,2.66,M
Linum australe,0.64,M
Lycium berlandieri,1.42,M
Lycium berlandieri,2.55,M
Muhlenbergia arenacea,1.43,M
Muhlenbergia porteri,0.65,M
